,Bagging-Genie3-10,Bagging-Genie3-100,Bagging-Genie3-150,Bagging-Genie3-200,Bagging-Genie3-25,Bagging-Genie3-250,Bagging-Genie3-50,Bagging-Genie3-75,Bagging-RForest-10,Bagging-RForest-100,Bagging-RForest-150,Bagging-RForest-200,Bagging-RForest-25,Bagging-RForest-250,Bagging-RForest-50,Bagging-RForest-75,Bagging-Symbolic-10,Bagging-Symbolic-100,Bagging-Symbolic-150,Bagging-Symbolic-200,Bagging-Symbolic-25,Bagging-Symbolic-250,Bagging-Symbolic-50,Bagging-Symbolic-75,ExtraTrees-Genie3-10,ExtraTrees-Genie3-100,ExtraTrees-Genie3-150,ExtraTrees-Genie3-200,ExtraTrees-Genie3-25,ExtraTrees-Genie3-250,ExtraTrees-Genie3-50,ExtraTrees-Genie3-75,ExtraTrees-Symbolic-10,ExtraTrees-Symbolic-100,ExtraTrees-Symbolic-150,ExtraTrees-Symbolic-200,ExtraTrees-Symbolic-25,ExtraTrees-Symbolic-250,ExtraTrees-Symbolic-50,ExtraTrees-Symbolic-75,RForest-Genie3-10,RForest-Genie3-100,RForest-Genie3-150,RForest-Genie3-200,RForest-Genie3-25,RForest-Genie3-250,RForest-Genie3-50,RForest-Genie3-75,RForest-RForest-10,RForest-RForest-100,RForest-RForest-150,RForest-RForest-200,RForest-RForest-25,RForest-RForest-250,RForest-RForest-50,RForest-RForest-75,RForest-Symbolic-10,RForest-Symbolic-100,RForest-Symbolic-150,RForest-Symbolic-200,RForest-Symbolic-25,RForest-Symbolic-250,RForest-Symbolic-50,RForest-Symbolic-75
Health1,0.53944,0.54862,0.55117,0.5521,0.53891,0.55343,0.54762,0.5474,0.48713,0.48311,0.48304,0.48526,0.44908,0.48053,0.49297,0.48953,0.52775,0.52194,0.52887,0.52686,0.51868,0.51997,0.53894,0.53163,0.54636,0.54636,0.54636,0.54636,0.54636,0.54636,0.54636,0.54636,0.51861,0.51904,0.5184,0.51904,0.51904,0.5185,0.51904,0.51883,0.52736,0.54292,0.54916,0.55074,0.47056,0.54884,0.5137,0.52628,0.49326,0.49419,0.50857,0.51,0.46106,0.50871,0.46052,0.4891,0.44342,0.51287,0.50287,0.49035,0.4811,0.49684,0.50907,0.51205
mediamill,0.71047,0.71032,0.71046,0.71033,0.7102,0.71014,0.71026,0.71019,0.70868,0.70899,0.7088,0.70856,0.70928,0.70838,0.7089,0.70875,0.7051,0.70676,0.70691,0.70655,0.7064,0.70742,0.70695,0.70727,0.70947,0.70991,0.70993,0.71,0.71034,0.70988,0.70958,0.70999,0.7043,0.70681,0.70808,0.70775,0.70765,0.70794,0.70741,0.70628,0.70942,0.70926,0.70932,0.70939,0.70953,0.70845,0.70834,0.70906,0.7093,0.70925,0.70943,0.70921,0.70946,0.70907,0.70933,0.70926,0.71003,0.71193,0.7109,0.70981,0.70868,0.71051,0.70899,0.71029
medical,0.74775,0.76276,0.76276,0.75375,0.76577,0.75375,0.76276,0.76276,0.5,0.50601,0.50751,0.50751,0.5,0.51051,0.51652,0.50751,0.66066,0.66667,0.68168,0.67568,0.66366,0.67868,0.65766,0.66667,0.5976,0.5976,0.5976,0.5976,0.5976,0.5976,0.5976,0.5976,0.34384,0.34384,0.34384,0.34384,0.34384,0.34384,0.34384,0.34384,0.63514,0.66667,0.68168,0.67568,0.66366,0.67267,0.66066,0.66066,0.54204,0.51351,0.52703,0.52703,0.52703,0.52252,0.50601,0.50751,0.4985,0.56156,0.57357,0.55105,0.5,0.5991,0.54054,0.57508
Recreation1,0.17382,0.16973,0.16887,0.16945,0.1691,0.16777,0.16966,0.16808,0.090294,0.09635,0.098395,0.099339,0.093912,0.10076,0.092811,0.093047,0.18822,0.18303,0.19215,0.19246,0.18405,0.19058,0.18075,0.17839,0.17631,0.17343,0.1738,0.1734,0.17498,0.17317,0.17406,0.17411,0.19734,0.25528,0.25442,0.25418,0.23801,0.2524,0.24962,0.24529,0.14095,0.14543,0.14205,0.14283,0.14441,0.14315,0.14661,0.14488,0.063395,0.07362,0.071889,0.070316,0.07126,0.070159,0.073462,0.07299,0.16709,0.20363,0.21874,0.22817,0.18193,0.22676,0.18853,0.20303
Reference1,0.44662,0.4415,0.45,0.45525,0.43575,0.45737,0.43575,0.43475,0.43362,0.45012,0.45312,0.45162,0.444,0.45188,0.44825,0.44875,0.3795,0.36462,0.37225,0.37175,0.38662,0.38025,0.393,0.36175,0.435,0.435,0.435,0.435,0.435,0.435,0.435,0.435,0.3285,0.3285,0.3285,0.3285,0.3285,0.3285,0.3285,0.3285,0.456,0.47825,0.47875,0.48113,0.47025,0.481,0.47337,0.47825,0.45513,0.46513,0.46363,0.46387,0.458,0.46613,0.46137,0.46675,0.33437,0.387,0.38912,0.34775,0.356,0.3495,0.38862,0.38525
scene,0.58403,0.60284,0.60744,0.60368,0.59448,0.60452,0.59741,0.59741,0.59114,0.60033,0.60159,0.60535,0.58988,0.60744,0.59281,0.60326,0.52048,0.56773,0.56145,0.56062,0.55686,0.55644,0.56187,0.55895,0.61873,0.61789,0.60828,0.61664,0.61162,0.61538,0.61915,0.61497,0.57818,0.57776,0.58361,0.59448,0.58319,0.59197,0.58905,0.57943,0.61329,0.6158,0.61162,0.61915,0.61162,0.61246,0.61747,0.61664,0.6112,0.60661,0.60201,0.6041,0.60493,0.60744,0.60577,0.60284,0.55769,0.60117,0.59114,0.5857,0.58863,0.58821,0.60326,0.61162
Science1,0.096712,0.097231,0.094586,0.096453,0.095208,0.094897,0.093342,0.10003,0.048434,0.045737,0.047915,0.047915,0.046878,0.047293,0.048227,0.047915,0.12378,0.13685,0.14146,0.14349,0.12663,0.1438,0.13981,0.13405,0.10677,0.10677,0.10677,0.10677,0.10677,0.10677,0.10677,0.10677,0.12897,0.12897,0.12897,0.12897,0.12897,0.12897,0.12897,0.12897,0.053205,0.063161,0.065339,0.064406,0.059428,0.059428,0.056316,0.058805,0.033914,0.034848,0.036092,0.035781,0.036714,0.033603,0.040137,0.038892,0.066584,0.11025,0.10236,0.1117,0.11294,0.11465,0.12114,0.12632
Social1,0.5037,0.5042,0.49325,0.48461,0.49942,0.48156,0.50321,0.49885,0.41579,0.41612,0.41743,0.40591,0.42328,0.41208,0.43069,0.42847,0.50982,0.51819,0.52642,0.53145,0.50568,0.5284,0.51934,0.51334,0.50477,0.50477,0.50477,0.50477,0.50477,0.50477,0.50477,0.50477,0.51655,0.51655,0.51655,0.51655,0.51655,0.51655,0.51655,0.51655,0.42517,0.50016,0.51292,0.51358,0.4851,0.50288,0.50477,0.4992,0.39669,0.4432,0.44658,0.43826,0.43579,0.42715,0.44701,0.446,0.38056,0.48334,0.48869,0.48452,0.4513,0.46205,0.47871,0.49125
Society1,0.39812,0.3975,0.39863,0.39538,0.38949,0.39755,0.39435,0.39672,0.31303,0.33409,0.33907,0.34521,0.33133,0.34722,0.33416,0.32953,0.38709,0.38523,0.38935,0.38608,0.37491,0.37636,0.38058,0.37775,0.39041,0.3754,0.38012,0.38267,0.38813,0.38122,0.37846,0.37632,0.36909,0.39897,0.39575,0.39255,0.38576,0.38822,0.39098,0.39022,0.34996,0.37335,0.3777,0.37871,0.38032,0.37719,0.37855,0.38281,0.30619,0.31807,0.3357,0.33833,0.32486,0.33884,0.3468,0.3468,0.34683,0.38403,0.3684,0.36511,0.40063,0.35263,0.40496,0.3937
tmc2007-500,0.69767,0.69825,0.69853,0.69844,0.69825,0.69926,0.69813,0.69833,0.72346,0.72412,0.72393,0.72315,0.72461,0.72332,0.72497,0.72419,0.69665,0.69585,0.69759,0.698,0.69249,0.69951,0.69401,0.69641,0.64927,0.64927,0.64927,0.64927,0.64927,0.64927,0.64927,0.64927,0.62247,0.62247,0.62247,0.62247,0.62247,0.6224,0.62247,0.62247,0.70405,0.70587,0.70589,0.70561,0.70654,0.70581,0.70411,0.70447,0.722,0.72166,0.72137,0.72195,0.72381,0.72214,0.72305,0.72207,0.68214,0.69675,0.70061,0.70165,0.68673,0.69985,0.69237,0.68918
yeast,0.70206,0.70307,0.70182,0.70185,0.70106,0.70351,0.70373,0.70137,0.70537,0.70196,0.70058,0.69876,0.70132,0.69836,0.70249,0.7022,0.705,0.70245,0.70468,0.70312,0.70402,0.7041,0.69434,0.69947,0.70674,0.69766,0.7023,0.70233,0.70311,0.70188,0.70297,0.70276,0.70399,0.69686,0.7024,0.70324,0.70051,0.70582,0.70017,0.70329,0.70446,0.70377,0.70366,0.70214,0.70415,0.70511,0.70563,0.70204,0.70533,0.70666,0.70643,0.70572,0.70524,0.70432,0.70948,0.70463,0.70134,0.70287,0.70386,0.70554,0.69442,0.70912,0.70302,0.69728
zbookmarks,0.21577,0.21587,0.21631,0.21628,0.21562,0.21626,0.21585,0.21568,0.20905,0.20928,0.20922,0.20897,0.20911,0.20903,0.20933,0.20939,0.20683,0.21744,0.21801,0.21683,0.21421,0.21659,0.21627,0.2178,0.19244,0.19244,0.19244,0.19244,0.19244,0.19244,0.19244,0.19244,0.16445,0.16445,0.16445,0.16445,0.16445,0.16445,0.16445,0.16443,0.2201,0.22021,0.22021,0.22021,0.22021,0.22021,0.22021,0.22021,0.20757,0.20799,0.20799,0.20799,0.20799,0.20799,0.20799,0.20799,0.21093,0.21814,0.21814,0.21814,0.21814,0.21814,0.21814,0.21814
