,Bagging-Genie3-10,Bagging-Genie3-100,Bagging-Genie3-150,Bagging-Genie3-200,Bagging-Genie3-25,Bagging-Genie3-250,Bagging-Genie3-50,Bagging-Genie3-75,Bagging-RForest-10,Bagging-RForest-100,Bagging-RForest-150,Bagging-RForest-200,Bagging-RForest-25,Bagging-RForest-250,Bagging-RForest-50,Bagging-RForest-75,Bagging-Symbolic-10,Bagging-Symbolic-100,Bagging-Symbolic-150,Bagging-Symbolic-200,Bagging-Symbolic-25,Bagging-Symbolic-250,Bagging-Symbolic-50,Bagging-Symbolic-75,ExtraTrees-Genie3-10,ExtraTrees-Genie3-100,ExtraTrees-Genie3-150,ExtraTrees-Genie3-200,ExtraTrees-Genie3-25,ExtraTrees-Genie3-250,ExtraTrees-Genie3-50,ExtraTrees-Genie3-75,ExtraTrees-Symbolic-10,ExtraTrees-Symbolic-100,ExtraTrees-Symbolic-150,ExtraTrees-Symbolic-200,ExtraTrees-Symbolic-25,ExtraTrees-Symbolic-250,ExtraTrees-Symbolic-50,ExtraTrees-Symbolic-75,RForest-Genie3-10,RForest-Genie3-100,RForest-Genie3-150,RForest-Genie3-200,RForest-Genie3-25,RForest-Genie3-250,RForest-Genie3-50,RForest-Genie3-75,RForest-RForest-10,RForest-RForest-100,RForest-RForest-150,RForest-RForest-200,RForest-RForest-25,RForest-RForest-250,RForest-RForest-50,RForest-RForest-75,RForest-Symbolic-10,RForest-Symbolic-100,RForest-Symbolic-150,RForest-Symbolic-200,RForest-Symbolic-25,RForest-Symbolic-250,RForest-Symbolic-50,RForest-Symbolic-75
genbase,0.97864,0.97864,0.97864,0.97864,0.97864,0.97864,0.97864,0.97864,0.96859,0.96859,0.96859,0.97362,0.96859,0.97362,0.96859,0.96859,0.97864,0.97362,0.97362,0.97362,0.97362,0.97362,0.97362,0.97362,0.96859,0.96859,0.96859,0.96859,0.96859,0.96859,0.96859,0.96859,0.89824,0.89824,0.89824,0.89824,0.89824,0.89824,0.89824,0.89824,0.95854,0.97362,0.97362,0.97362,0.97362,0.97362,0.97362,0.97362,0.19933,0.96357,0.96608,0.96859,0.49456,0.96859,0.95603,0.95603,0.91332,0.96859,0.97362,0.96859,0.95352,0.97362,0.95854,0.96357
Health1,0.43762,0.44544,0.44826,0.44791,0.43694,0.44956,0.4443,0.44527,0.3893,0.38514,0.38522,0.38718,0.35932,0.38509,0.39252,0.39037,0.43996,0.43883,0.44264,0.44115,0.43363,0.43526,0.45139,0.44357,0.44363,0.44363,0.44363,0.44363,0.44363,0.44363,0.44363,0.44363,0.43707,0.43743,0.43714,0.43743,0.43743,0.43714,0.43743,0.43732,0.42285,0.43481,0.4387,0.43975,0.38092,0.43846,0.41382,0.42252,0.38788,0.3866,0.39812,0.3985,0.3643,0.39704,0.36424,0.38431,0.36533,0.41129,0.40678,0.39271,0.39391,0.40464,0.41629,0.41286
mediamill,0.48527,0.48486,0.48448,0.48484,0.4849,0.48452,0.48498,0.48492,0.48265,0.48308,0.48312,0.48328,0.48309,0.48322,0.48311,0.48308,0.46389,0.46545,0.46501,0.46512,0.4656,0.46606,0.46599,0.46553,0.48555,0.48528,0.48535,0.48546,0.48555,0.48534,0.48505,0.48492,0.47148,0.47225,0.47357,0.47305,0.47286,0.47442,0.47234,0.47269,0.48448,0.48419,0.48437,0.48465,0.48413,0.48432,0.48399,0.48387,0.4835,0.48335,0.48306,0.48294,0.48325,0.48296,0.48326,0.48316,0.47397,0.47755,0.47708,0.47619,0.47445,0.47728,0.47797,0.47765
medical,0.69119,0.7047,0.7047,0.6972,0.70621,0.6957,0.7047,0.7047,0.46897,0.47698,0.47998,0.47998,0.46697,0.48298,0.48098,0.47698,0.60861,0.61612,0.62963,0.62663,0.61461,0.62963,0.60861,0.61762,0.56657,0.56657,0.56657,0.56657,0.56657,0.56657,0.56657,0.56657,0.3023,0.3023,0.3023,0.3023,0.3023,0.3023,0.3023,0.3023,0.58458,0.61612,0.63113,0.62362,0.61011,0.62212,0.60861,0.61011,0.50701,0.46997,0.47748,0.48198,0.48599,0.47998,0.46346,0.46346,0.45095,0.50601,0.52452,0.50601,0.44695,0.55305,0.47497,0.50551
Recreation1,0.15653,0.15261,0.15227,0.15288,0.15212,0.15142,0.1528,0.15136,0.081889,0.08754,0.088637,0.089726,0.085538,0.091181,0.084027,0.083778,0.16923,0.16547,0.17232,0.17309,0.16681,0.17216,0.16355,0.16147,0.15955,0.15793,0.15862,0.15801,0.15916,0.1578,0.15848,0.15851,0.1776,0.23002,0.23031,0.22927,0.2149,0.22786,0.22534,0.22163,0.1271,0.13205,0.12877,0.1305,0.1312,0.13032,0.13319,0.13171,0.057323,0.065676,0.064379,0.063098,0.064134,0.063181,0.065878,0.06589,0.15181,0.18325,0.19652,0.20431,0.16468,0.20296,0.16992,0.18338
Reference1,0.40672,0.40238,0.41001,0.41378,0.39632,0.41624,0.39574,0.39595,0.39371,0.40814,0.41089,0.40981,0.40289,0.40927,0.40606,0.40756,0.35094,0.33617,0.34367,0.34271,0.35685,0.35046,0.36312,0.33377,0.39707,0.39707,0.39707,0.39707,0.39707,0.39707,0.39707,0.39707,0.30424,0.30424,0.30424,0.30424,0.30424,0.30424,0.30424,0.30424,0.41299,0.43191,0.43166,0.43337,0.42511,0.433,0.42783,0.43196,0.41116,0.41941,0.4175,0.41762,0.41251,0.41962,0.41621,0.42046,0.30624,0.35541,0.35724,0.31933,0.3285,0.32104,0.35576,0.35349
scene,0.55686,0.57358,0.5786,0.57525,0.56564,0.57525,0.56856,0.56856,0.56438,0.57232,0.57232,0.57651,0.56313,0.57901,0.56647,0.57525,0.49415,0.53846,0.53177,0.53135,0.52801,0.52759,0.53135,0.53052,0.59281,0.5903,0.58027,0.58821,0.58528,0.58654,0.59156,0.58737,0.5464,0.54891,0.55393,0.56564,0.55351,0.56396,0.56062,0.55017,0.58528,0.58863,0.58319,0.59197,0.58487,0.58528,0.58988,0.58905,0.58403,0.5786,0.574,0.57734,0.57651,0.57943,0.57776,0.57567,0.5301,0.57358,0.56271,0.55978,0.56062,0.56104,0.57316,0.58319
Science1,0.084285,0.084545,0.082496,0.083051,0.08273,0.08191,0.080759,0.086671,0.040552,0.040033,0.041589,0.041952,0.040915,0.041226,0.042626,0.042004,0.10707,0.11858,0.12507,0.12489,0.11201,0.12404,0.12156,0.11615,0.092738,0.092738,0.092738,0.092738,0.092738,0.092738,0.092738,0.092738,0.11424,0.11424,0.11424,0.11424,0.11424,0.11424,0.11424,0.11424,0.045877,0.055557,0.05759,0.056941,0.052282,0.052663,0.049938,0.052349,0.030077,0.031295,0.032343,0.032436,0.033058,0.03031,0.035859,0.035185,0.058961,0.09456,0.088554,0.097724,0.098183,0.098821,0.10516,0.10999
Social1,0.46598,0.46725,0.45799,0.45015,0.46328,0.44716,0.46702,0.46302,0.38453,0.38525,0.38711,0.37594,0.39328,0.3811,0.39951,0.39652,0.4725,0.47832,0.48651,0.49143,0.46848,0.48831,0.48104,0.47557,0.46825,0.46825,0.46825,0.46825,0.46825,0.46825,0.46825,0.46825,0.47893,0.47885,0.47885,0.47885,0.47885,0.47885,0.47885,0.47885,0.39573,0.46333,0.47345,0.47324,0.44861,0.46406,0.46624,0.4614,0.36648,0.40694,0.40961,0.40301,0.40084,0.39314,0.41026,0.40868,0.35313,0.45034,0.45427,0.45033,0.41987,0.42968,0.44791,0.4571
Society1,0.31718,0.31567,0.31567,0.31331,0.30986,0.31506,0.31247,0.31399,0.24935,0.26416,0.26786,0.27232,0.26169,0.2737,0.26471,0.26207,0.31035,0.31163,0.31348,0.31307,0.3034,0.30424,0.30609,0.30356,0.31151,0.29909,0.30192,0.30407,0.30838,0.30303,0.30218,0.29862,0.29806,0.32124,0.32006,0.31657,0.31122,0.31407,0.31498,0.31526,0.2782,0.29491,0.29709,0.29732,0.30052,0.29662,0.29749,0.3002,0.24217,0.24952,0.26217,0.26271,0.25399,0.2636,0.26884,0.26931,0.27782,0.31006,0.29623,0.29394,0.31928,0.28446,0.32288,0.31689
tmc2007-500,0.57439,0.57466,0.574,0.57354,0.57376,0.57392,0.57334,0.57455,0.58565,0.58309,0.58296,0.58235,0.58473,0.58293,0.58495,0.58323,0.58833,0.59244,0.59164,0.59356,0.58733,0.59387,0.58843,0.58984,0.51517,0.51517,0.51517,0.51517,0.51517,0.51517,0.51517,0.51517,0.47007,0.47007,0.47007,0.47007,0.47007,0.47007,0.47007,0.47007,0.58812,0.58945,0.58934,0.59033,0.59053,0.59092,0.58888,0.58905,0.58234,0.58288,0.58275,0.5824,0.58162,0.58326,0.58253,0.5828,0.56441,0.58857,0.59065,0.59408,0.57956,0.59052,0.58838,0.58606
yeast,0.5861,0.58019,0.57769,0.57684,0.58167,0.57885,0.58125,0.57817,0.58339,0.57845,0.57872,0.57878,0.58077,0.58052,0.57829,0.58011,0.5575,0.56617,0.57029,0.57277,0.56125,0.57167,0.5681,0.56836,0.58721,0.58103,0.58246,0.58209,0.58605,0.58193,0.58468,0.58326,0.57606,0.55909,0.56212,0.56742,0.571,0.56734,0.57423,0.57103,0.5826,0.5835,0.58138,0.58582,0.57879,0.58251,0.58227,0.58236,0.5821,0.58542,0.58387,0.58315,0.58206,0.58081,0.58649,0.58334,0.57381,0.57984,0.57748,0.5794,0.57255,0.57947,0.57904,0.57768
zbookmarks,0.20643,0.20642,0.20677,0.20676,0.20623,0.20681,0.20643,0.20618,0.20098,0.20103,0.20108,0.20076,0.20101,0.20093,0.20113,0.2013,0.19656,0.2036,0.20417,0.20291,0.20063,0.2026,0.20256,0.2044,0.18911,0.18911,0.18911,0.18911,0.18911,0.18911,0.18911,0.18911,0.16324,0.16324,0.16324,0.16324,0.16324,0.16324,0.16324,0.16324,0.20845,0.20875,0.20875,0.20875,0.20875,0.20875,0.20875,0.20875,0.20033,0.20052,0.20052,0.20052,0.20052,0.20052,0.20052,0.20052,0.20171,0.20582,0.20582,0.20582,0.20582,0.20582,0.20582,0.20582
